latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.01805,24.06255,331.12,0.41,0.37,2021-02-06,1127,N,VIIRS,n,2,292.32,2.56,D,0
40.29799,21.41108,328.67,0.38,0.36,2021-02-06,1127,N,VIIRS,n,2,292.39,1.77,D,0
40.97169,23.1522,333.97,0.4,0.37,2021-02-06,1127,N,VIIRS,n,2,291.87,2.6,D,0
40.97503,23.15138,326.23,0.4,0.37,2021-02-06,1127,N,VIIRS,n,2,291.75,1.52,D,0
39.33954,22.63312,336.2,0.39,0.36,2021-02-06,1127,N,VIIRS,n,2,297.71,2.73,D,0
39.15541,22.83226,329.57,0.39,0.36,2021-02-06,1127,N,VIIRS,n,2,292.59,2.1,D,0
38.93601,22.05079,329.13,0.38,0.36,2021-02-06,1127,N,VIIRS,n,2,297.42,2.28,D,0
38.9367,22.05519,329.79,0.38,0.36,2021-02-06,1127,N,VIIRS,n,2,297.37,2.28,D,0
38.83776,22.06513,307.37,0.33,0.55,2021-02-08,0108,N,VIIRS,n,2,275.52,0.89,N,0
38.56499,23.29309,324.55,0.78,0.78,2021-02-08,2308,N,VIIRS,n,2,283.47,4.81,N,2
38.56535,23.29459,329.71,0.79,0.78,2021-02-08,2308,N,VIIRS,n,2,283.44,4.41,N,2
38.56551,23.29518,295.15,0.44,0.46,2021-02-09,0049,N,VIIRS,n,2,280.79,0.64,N,2
35.2547,24.60305,332.45,0.45,0.63,2021-02-09,1029,N,VIIRS,n,2,284.05,2.99,D,0
35.25383,24.60176,325.27,0.45,0.63,2021-02-09,1029,N,VIIRS,n,2,284.03,1.64,D,0
38.39638,23.08232,351.53,0.38,0.59,2021-02-09,1211,N,VIIRS,n,2,292.58,5.21,D,0
38.50051,23.06138,340.55,0.38,0.59,2021-02-09,1211,N,VIIRS,n,2,292.79,3.6,D,0
38.46136,23.04698,367,0.38,0.58,2021-02-09,1211,N,VIIRS,h,2,294.1,8.22,D,0
39.35374,22.98537,308.06,0.41,0.37,2021-02-10,0030,N,VIIRS,n,2,283.52,1.1,N,2
38.37413,24.06336,298.35,0.45,0.39,2021-02-10,0030,N,VIIRS,n,2,283.93,0.8,N,2
38.128,23.52536,309.87,0.43,0.38,2021-02-10,0030,N,VIIRS,n,2,282.22,1.65,N,2
38.03447,23.59477,296.63,0.44,0.38,2021-02-10,0030,N,VIIRS,n,2,282.47,0.76,N,0
37.9185,23.07305,299.48,0.42,0.38,2021-02-10,0030,N,VIIRS,n,2,285.74,1.07,N,2
37.90038,24.91895,341.92,0.46,0.39,2021-02-11,1133,N,VIIRS,n,2,290.6,6.33,D,3
37.89672,24.91924,345.91,0.46,0.39,2021-02-11,1133,N,VIIRS,n,2,294.42,6.33,D,0
