latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.24429,20.51369,344.88,0.46,0.47,2023-02-08,1104,N,VIIRS,n,2,289.29,11.74,D,0
41.2288,23.05844,331.25,0.48,0.4,2023-02-08,1104,N,VIIRS,n,2,281.97,4.84,D,0
41.1374,23.23484,333.32,0.48,0.4,2023-02-08,1104,N,VIIRS,n,2,281.57,4.01,D,0
41.01097,23.4632,332.28,0.47,0.4,2023-02-08,1104,N,VIIRS,n,2,282.46,5.34,D,0
40.70755,22.6323,327.43,0.51,0.41,2023-02-08,1104,N,VIIRS,n,2,282.06,1.59,D,0
40.92769,23.81883,328.93,0.46,0.39,2023-02-08,1104,N,VIIRS,n,2,284.61,2.14,D,0
40.97802,24.24415,327.02,0.44,0.39,2023-02-08,1104,N,VIIRS,n,2,283.37,1.95,D,0
40.95871,24.33805,328.79,0.44,0.38,2023-02-08,1104,N,VIIRS,n,2,283.83,2.24,D,0
40.59152,22.78185,342.86,0.51,0.41,2023-02-08,1104,N,VIIRS,n,2,284.45,6.51,D,0
40.96083,25.31229,331.91,0.42,0.45,2023-02-09,1045,N,VIIRS,n,2,283.68,8.91,D,0
40.89663,24.84889,331.74,0.44,0.46,2023-02-09,1045,N,VIIRS,n,2,281.29,4.4,D,0
40.8978,24.85397,335.71,0.44,0.46,2023-02-09,1045,N,VIIRS,n,2,281.72,4.4,D,0
40.57071,22.72924,325.84,0.57,0.52,2023-02-09,1045,N,VIIRS,n,2,279.58,6.37,D,0
40.96189,25.31713,338.21,0.42,0.45,2023-02-09,1045,N,VIIRS,n,2,283.88,12.58,D,0
40.89547,24.84381,337.65,0.44,0.46,2023-02-09,1045,N,VIIRS,n,2,281.35,2.95,D,0
40.70771,22.24799,326.23,0.59,0.53,2023-02-09,1046,N,VIIRS,n,2,278.85,3.39,D,0
38.28158,20.4075,336.14,0.4,0.6,2023-02-09,1225,N,VIIRS,n,2,270.82,2.7,D,0
40.67937,22.69973,339.53,0.55,0.68,2023-02-09,1226,N,VIIRS,n,2,277.34,4.17,D,0
40.68578,22.69952,339.9,0.55,0.68,2023-02-09,1226,N,VIIRS,n,2,275.91,4.73,D,0
40.58574,22.83493,335.69,0.56,0.69,2023-02-09,1226,N,VIIRS,n,2,275.23,5.82,D,0
40.85176,26.19432,347.37,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,281.82,3.34,D,0
40.83916,26.1875,329.22,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,282.29,2.23,D,0
40.86438,26.18036,326.66,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,280.82,1.69,D,0
40.90809,26.22636,329.79,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,281.09,2.81,D,0
40.90713,26.22269,326.17,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,280.22,2.22,D,0
40.86338,26.1974,338.33,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,281.66,2.62,D,0
40.83819,26.18378,335.04,0.32,0.55,2023-02-10,1027,N,VIIRS,n,2,281.57,2.23,D,0
41.22645,23.06421,357.76,0.33,0.55,2023-02-10,1207,N,VIIRS,l,2,283.97,4.52,D,0
40.67327,22.67464,339.09,0.62,0.54,2023-02-10,1207,N,VIIRS,n,2,285.03,6.15,D,0
40.63727,22.66336,343.96,0.62,0.54,2023-02-10,1207,N,VIIRS,n,2,284.54,11.37,D,0
40.99529,23.84908,328.74,0.36,0.57,2023-02-10,1207,N,VIIRS,n,2,284.98,1.9,D,0
40.67241,22.67361,339.89,0.62,0.54,2023-02-10,1207,N,VIIRS,n,2,285.32,9.04,D,0
41.22623,23.06018,345.59,0.33,0.55,2023-02-10,1207,N,VIIRS,n,2,283.6,4.52,D,0
